,file_name,USER_NUMBER,begin,end,wrong_word,correct_word,process,main_category,sub_category_1,sub_category_2
0,n_dialog_11_3.txt,4011744020,140,145,داداش,داداش؟,Omission,Punctuation,None,None
1,n_dialog_11_3.txt,4011744020,181,185,خوبم,خوبم.,Replacement,Punctuation,None,None
2,n_dialog_11_3.txt,4011744020,186,191,انشاء,ان شاء,Replacement,Form,Boundary,Merging
3,n_dialog_11_3.txt,4011744020,198,202,خوبی,خوبی؟,Omission,Punctuation,None,None
4,n_dialog_11_3.txt,4011744020,203,209,سلامتی,سلامتی؟,Omission,Punctuation,None,None
5,n_dialog_11_3.txt,4011744020,210,219,انشاءالله,ان شاء اللّه,Replacement,Form,Boundary,Merging
6,n_dialog_11_3.txt,4011744020,248,253,هستید,هستید.,Omission,Punctuation,None,None
7,n_dialog_11_3.txt,4011744020,353,357,دونی,دانی,Replacement,Main signs,Consonants,None
8,n_dialog_11_3.txt,4011744020,413,416,بله,بله،,Omission,Punctuation,None,None
9,n_dialog_11_3.txt,4011744020,432,435,است,است.,Omission,Punctuation,None,None
10,n_dialog_11_3.txt,4011744020,663,666,فرق,فرقی,Replacement,Main signs,Vowels,Short vowels
11,n_dialog_11_3.txt,4011744020,722,725,فرق,فرقی,Replacement,Main signs,Vowels,Short vowels
12,n_dialog_11_3.txt,4011744020,742,743,.,؟,Replacement,Punctuation,None,None
13,n_dialog_11_3.txt,4011744020,804,808,دونم,دانم,Replacement,Main signs,Consonants,None
14,n_dialog_11_3.txt,4011744020,833,834,.,؛,Replacement,Punctuation,None,None
15,n_dialog_11_3.txt,4011744020,836,841,ببارد,ببارد؟,Omission,Punctuation,None,None
16,n_dialog_11_3.txt,4011744020,914,918,خوبه,خوبه؛,Omission,Punctuation,None,None
17,n_dialog_11_3.txt,4011744020,1091,1094,خوب,خب,Replacement,Main signs,Vowels,Long vowels
18,n_dialog_11_3.txt,4011744020,1091,1094,خوب,خب،,Omission,Punctuation,None,None
19,n_dialog_11_3.txt,4011744020,1102,1107,داداش,داداش.,Omission,Punctuation,None,None
20,n_dialog_11_3.txt,4011744020,1135,1138,کنم,کنم.,Omission,Punctuation,None,None
21,n_dialog_11_3.txt,4011744020,1140,1147,خداحافظ,خداحافظ.,Omission,Punctuation,None,None
22,n_dialog_11_3.txt,4011744020,1206,1213,خداحافظ,خداحافظ.,Omission,Punctuation,None,None
0,n_dialog_11_30.txt,4011744020,60,64,محمد,محمّد,Omission,Diacritic signs,Tashdid,None
1,n_dialog_11_30.txt,4011744020,66,70,سلام,سلام.,Omission,Punctuation,None,None
2,n_dialog_11_30.txt,4011744020,77,81,سلام,سلام.,Omission,Punctuation,None,None
3,n_dialog_11_30.txt,4011744020,83,87,محمد,محمّد,Omission,Diacritic signs,Tashdid,None
4,n_dialog_11_30.txt,4011744020,97,101,خوبه,خوبه؟,Omission,Punctuation,None,None
5,n_dialog_11_30.txt,4011744020,103,107,محمد,محمّد,Omission,Diacritic signs,Tashdid,None
6,n_dialog_11_30.txt,4011744020,116,119,شکر,شکر،,Omission,Punctuation,None,None
7,n_dialog_11_30.txt,4011744020,120,124,خوبم,خوبم.,Omission,Punctuation,None,None
8,n_dialog_11_30.txt,4011744020,126,130,محمد,محمّد,Omission,Diacritic signs,Tashdid,None
9,n_dialog_11_30.txt,4011744020,146,150,کنید,کنید؟,Omission,Punctuation,None,None
10,n_dialog_11_30.txt,4011744020,163,170,فروشکاه,فروشگاه,Replacement,Main signs,Consonants,گ
11,n_dialog_11_30.txt,4011744020,190,193,کنم,کنم.,Omission,Punctuation,None,None
12,n_dialog_11_30.txt,4011744020,195,199,محمد,محمّد,Omission,Diacritic signs,Tashdid,None
13,n_dialog_11_30.txt,4011744020,217,224,در امدت,درآمدت,Replacement,Form,Boundary,Splitting
14,n_dialog_11_30.txt,4011744020,217,224,در امدت,درآمدت,Omission,Diacritic signs,Madd,None
15,n_dialog_11_30.txt,4011744020,232,233,.,؟,Replacement,Punctuation,None,None
16,n_dialog_11_30.txt,4011744020,255,258,است,است.,Omission,Punctuation,None,None
17,n_dialog_11_30.txt,4011744020,262,268,اندازه,اندازه‌ی,Omission,Main signs,Consonants,ی
18,n_dialog_11_30.txt,4011744020,269,274,زندکی,زندگی,Replacement,Main signs,Consonants,گ
19,n_dialog_11_30.txt,4011744020,294,298,محمد,محمّد,Omission,Diacritic signs,Tashdid,None
20,n_dialog_11_30.txt,4011744020,310,313,خوب,خب,Replacement,Main signs,Vowels,Long vowels
21,n_dialog_11_30.txt,4011744020,352,357,مانند,مانند:,Omission,Punctuation,None,None
22,n_dialog_11_30.txt,4011744020,393,397,محمد,محمّد,Omission,Diacritic signs,Tashdid,None
23,n_dialog_11_30.txt,4011744020,399,402,هان,آهان!,Omission,Punctuation,None,None
24,n_dialog_11_30.txt,4011744020,399,402,هان,آهان,Omission,Main signs,Consonants,ء
25,n_dialog_11_30.txt,4011744020,399,402,هان,آهان!,Omission,Diacritic signs,Madd,None
26,n_dialog_11_30.txt,4011744020,403,411,انشاالله,ان‌شاءاللّه,Replacement,Form,Boundary,Merging
27,n_dialog_11_30.txt,4011744020,403,411,انشاالله,ان‌شاءاللّه,Omission,Main signs,Consonants,ء
28,n_dialog_11_30.txt,4011744020,423,426,ایم,آیم,Omission,Diacritic signs,Madd,None
29,n_dialog_11_30.txt,4011744020,458,461,خوب,خوبه؛,Omission,Main signs,Consonants,هـ
30,n_dialog_11_30.txt,4011744020,458,461,خوب,خوبه؛,Omission,Punctuation,None,None
