wrong_sentence,error_index
معلم و شاگرد باید توجه داشته باشنند که اشتغالت غیر علمی آنگاه معقول است که آنها نیازهای علمی خود را برآورده ساخته و وظایف مربوط به آن را ادا کرده باشنند . [ساحل عاج],"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0]"
زباله در سطل است . تلفن با رایانه روی میز است . [هند],"[40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
این دِرخت بَرگ و میوه دارد [عراق],"[40, 40, 0, 0, 0, 0]"
من چند تا دوست دارم اما یکی از آنها خوبتر است . سبک زندگی اش باید خوب باشد مسئولیت پذیر باشد- دوست من که خوبتر از همه دوستها است- خیلی مسئولیت پذیر و انسان مهربان هست- او خیل یپر انرژی و با حال است-تنبل نیست زندگیش خیلی مرتب است . دوست من چون خیلی مسئولیت پذیر است هر وقتی من از او کمک می خواهم_، کمک من می کند وقتبی من نگران یا عصابی می باشم من را بِبُرد برای گردش ، به سینما یا به ریستوران- وقتی که به خانه ما می آید همیشه یک چیز جدیدی می پزد-آشپزی خوب بلد بوده -هر چیز یکه می پزد خیلی خوب بوده_است . ما با هم کریکت بازی می کنیم - از بازار لباس ها و چیزها دیگری می خریم- گاهی ما نمی خواهیم_که حتی در شب جدا بشویم-من همیشه از او خوشم می آمد چون سبک زندگی خیلی خوب است- کارهای خانه را انجام می دهد ، در انتحان نمرات خوبی می گیرد سخنرانی می کند لباس تمیز و خوش رنگ می پوشد- ساده زندگی می کند- کمک انسانهای فقیر و ضعیف می کند - همه کارها سر وقت انجام می دهد- من آرزو دارم که مثل او باشم- [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
او میکوشد تا جهان خوب و دقیق را ببیند سخنان دیگران را به دقّت بشنود ، از عقل خویش استفاده کند و درآن چه دیده و شنیده تفکّر کند . او تلاش میکند تا با بهرهگیری از نیروی اندیشه راه رسیدن به حقیقت را پیدا کند . [سنگال],"[0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
روی میز هشت سیب است [عراق],"[0, 0, 0, 0, 40]"
این درخت برگ و میوه دارد . در خانه درخت هست . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 40, 40, 0, 0, 0]"
کتاب کاغذی یعنی کتاب معمولی کتابی است که اغلی اوقات دارای آن مردم را میتوانیم ببینیم این نوع کتاب از کاغذ تهیه میشود و عموماً قیمتش نسبت به کتاب الکترونیکی بلندتر است . [روسیه],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
بیشتر جادّه ها و خیابانها شلوغ و پر ترافیک است . بعضی از مردم با ماشین شخصی مسافرت میکنند و بعضی هم به دفترهای مسافرتی می روند . و بلیت هواپیما قطار یا اتوبوس می خرند . فاصلهی خانهی آقای مهدوی تا مغازهاش رود پانصد متر است . او هر روز ساعت هفت و نیم صبح پیاده به مغازه اش می رودو تا حدود ظهردر [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 31, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
مثلا در ماه رمضان انها هم آب و غذا نمی خورند . [ترکیه],"[0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0]"
